N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
31,TIGER 2차전지TOP10,"10,210",545,+5.64%,"3,085,753","31,390","10,110","10,120","3,380",N/A,N/A
32,TIGER 미국필라델피아반도체나스닥,"16,775","1,800",+12.02%,"3,054,141","51,151","16,805","16,810","24,844",N/A,N/A
33,에이프로젠,"1,357",17,+1.27%,"2,979,161","4,104","1,366","1,371","3,774",-5.87,-30.65
34,대한전선,"12,690","1,110",+9.59%,"2,951,164","37,007","12,550","12,560","23,660",21.58,7.83
35,한국석유,"23,050",450,+1.99%,"2,820,104","64,542","22,950","23,000","2,926",19.65,8.67
36,우리금융지주,"14,320",340,+2.43%,"2,673,561","38,652","14,280","14,290","106,339",4.42,8.30
37,신한 인버스 2X WTI원유 선물 ETN(H),85,4,-4.49%,"2,657,398",227,85,86,538,N/A,N/A
38,PLUS 200,"34,955","1,230",+3.65%,"2,536,080","88,607","34,770","34,780","6,344",N/A,N/A
39,현대로템,"45,100",400,+0.89%,"2,514,214","114,876","44,950","45,000","49,223",24.81,10.06
40,TIGER 화장품,"2,885",175,+6.46%,"2,410,688","6,913","2,870","2,875","1,504",N/A,N/A
41,한화투자증권,"3,280",300,+10.07%,"2,404,153","7,770","3,270","3,275","7,037",12.42,0.59
42,동양철관,916,26,+2.92%,"2,403,889","2,200",911,914,"1,337",61.07,-1.78
43,KEC,"1,010",70,+7.45%,"2,336,007","2,284","1,001","1,004","2,028",-5.13,-11.80
44,한화시스템,"18,500",230,+1.26%,"2,287,670","42,775","18,450","18,460","34,950",16.29,16.87
45,TIGER 2차전지소재Fn,"5,620",320,+6.04%,"2,270,007","12,713","5,565","5,570","5,642",N/A,N/A
46,팬오션,"3,645",235,+6.89%,"2,183,710","7,827","3,590","3,595","19,485",10.12,5.32
47,TIGER 미국30년국채프리미엄액티브(H),"9,775",135,-1.36%,"2,078,888","20,340","9,780","9,785","7,219",N/A,N/A
48,이수페타시스,"35,250","2,000",+6.02%,"2,059,530","72,872","35,150","35,200","22,294",45.02,19.51
49,SG세계물산,364,14,+4.00%,"1,948,937",704,363,364,737,-45.50,-0.42
